"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#201310230023,3,2013/10/23,2015/10/14,ISSUED,9,2016/04/14,10000,10000,OFFICE,0,OFFICE,0,2,,4,4,0,,13,4017,5,1900,,BRYANT,ST,0,,"DAREN S.",DUNCAN,9163150500,"QUALITY TELECOM CONSULTANTS",,"PO BOX 807",,LOOMIS,CA,95650-0000,,,"REMOVE & REPLACE 6 PANEL ANTENNAS. INSTALL 12 REMOVE RADIO UNITS  4 SURGE PROTECTION  REMOVE 6 CABLES & REPLACE WITH 4 CABLES  INSTALL 1 GPS & REPLACE 1 (E) LTE CABINET WITH 1 NEW CABINET. VERIZON WIRELSS SITE.",
#201311131794,3,2013/11/13,2015/10/26,ISSUED,9,2017/10/26,440000,476000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,4,1,,3,114,16,312,,GREEN,ST,,,,,,,,,,,,,,,"GROUND & 2ND FLOOR REMODEL & 3RD & 4TH STORY ADDITION.",
#201312023105,3,2013/12/02,2015/10/26,ISSUED,9,2016/04/26,18000,18000,OFFICE,,OFFICE,,2,,7,7,7,,13,3708,55,50,,01ST,ST,,,MARK,MCWHIRTER,9257547633,"CBA SITE SERVICES INC.",75,LAURITZNEN,LN,OAKLEY,CA,94561-0000,,,"VERIZON WIRELESS PROPOSES TO REPLACE 12 (E) ANTENNAS W/ (6)(N) DUAL-BAND LTE/AWS ANTENNAS  (3)(N) 850 ANTENNAS  (12) TOTAL. ADD (12)(N) RRH UNITS  RAYCAP UNITS HYBRID & RET CABLES. ADD DC POWER CABINTE. PAIN EXPOSED ANTENNAS &/OR CABLES TO MATCH.",
#201312033256,1,2013/12/03,2015/10/27,ISSUED,9,2021/10/27,39000000,39000000,,,APARTMENTS,103,2,,,12,1,,87,667,16,1545,,PINE,ST,,,"WILLIAM ARTHUR",SWINERTON,4154212980,"SWINERTON BUILDERS",260,TOWNSEND,ST,"SAN FRANCISCO",CA,94107-0000,,,"TO ERECT 12 STORIES  2 BASEMENT  103 RESIDENTIAL WITH RETAIL AND PARKING.",
#201312033256,1,2013/12/03,2015/10/27,ISSUED,9,2021/10/27,39000000,39000000,,,APARTMENTS,103,2,,,12,2,,87,667,19,1527,,PINE,ST,,,"WILLIAM ARTHUR",SWINERTON,4154212980,"SWINERTON BUILDERS",260,TOWNSEND,ST,"SAN FRANCISCO",CA,94107-0000,,,"TO ERECT 12 STORIES  2 BASEMENT  103 RESIDENTIAL WITH RETAIL AND PARKING.",
#201312204747,3,2013/12/20,2015/10/27,ISSUED,9,2021/10/27,210000000,210000000,OFFICE,0,APARTMENTS,169,2,Y,10,46,10,,208,3706,93,706,,MISSION,ST,,,"CHRISTIAN ANDREW PLUE","LEONARD JOHN VETRONE",5102050955,"WEBCOR CONSTRUCTION LP",1751,"HARBOR WAY PKWY",,ALAMEDA,CA,94502-0000,,,"(N) 46-STORY TOWER ADDITION TO THE (E) HISTORIC 10-STORY BLDG.  (R-2 M A-2 A-3 S-1 S-2 H-3)",
#201312305201,3,2013/12/30,2015/10/22,ISSUED,9,2017/10/23,300000,724752,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,4,2,,16,5457,22,2861,,"SAN BRUNO",AV,,,,,,,,,,,,,,,"2-STORY VERTICAL ADDITION TO EXISTING BUILDING. RELOCATE (E) 2 DWELLING UNITS TO 3RD & 4TH FLOOR. ADD 2 OFFICES ON 2ND FLOOR. GROUND FLOOR HORIZONTAL ADDITION FOR PARKING.",
#201312305201,3,2013/12/30,2015/10/22,ISSUED,9,2017/10/23,300000,724752,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,4,2,,16,5457,22,2865,,"SAN BRUNO",AV,,,,,,,,,,,,,,,"2-STORY VERTICAL ADDITION TO EXISTING BUILDING. RELOCATE (E) 2 DWELLING UNITS TO 3RD & 4TH FLOOR. ADD 2 OFFICES ON 2ND FLOOR. GROUND FLOOR HORIZONTAL ADDITION FOR PARKING.",
#201401307472,2,2014/01/30,2015/10/21,ISSUED,9,2017/10/21,694873,1114926,,,"2 FAMILY DWELLING",2,2,,,4,1,,20,2623,74,53,,STATES,ST,,,SHAUN,GELLING,4158199038,"GELLING & JUDD INC.",,"P.O. BOX 410987",,"SAN FRANCISCO",CA,94141-0000,,,"ERECT 4 STORIES  TYPE 5  2 DWELLING UNITS BUILDING.",
#201401307476,6,2014/01/30,2015/10/21,ISSUED,9,2016/04/21,15000,15000,"1 FAMILY DWELLING",1,,,0,,2,,1,,0,2623,74,53,,STATES,ST,,,SHAUN,GELLING,4158199038,"GELLING & JUDD INC.",,"P.O. BOX 410987",,"SAN FRANCISCO",CA,94141-0000,,,"DEMOLISH 2 STORIES  1 BASEMENT  TYPE 5  1 DWELLING UNITS BUILDING.",
#201402188691,3,2014/02/18,2015/10/16,ISSUED,9,2016/10/16,25000,33000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,2,2,,6,4146,26,957,,ALABAMA,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"(N) 1-STORY REAR YARD ADDITION & ROOF DECK. REPLACE (E) WOOD STAIRS W/ METAL SPIRAL STAIRS. REMODEL BATH & LAUNDRY. ADD BATH & LAUNDRY.",
#201402188691,3,2014/02/18,2015/10/16,ISSUED,9,2016/10/16,25000,33000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,2,2,2,,6,4146,26,959,,ALABAMA,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"(N) 1-STORY REAR YARD ADDITION & ROOF DECK. REPLACE (E) WOOD STAIRS W/ METAL SPIRAL STAIRS. REMODEL BATH & LAUNDRY. ADD BATH & LAUNDRY.",
#201403039733,3,2014/03/03,2015/10/26,ISSUED,9,2016/10/26,60000,60000,APARTMENTS,5,APARTMENTS,5,2,,4,4,3,,5,606,24,2455,,JACKSON,ST,0,,ROBERT,KORMAN,4153464364,"AAA CONCRETE CONST &PLUMB",3450,SACRAMENTO,ST,"SAN FRANCISCO",CA,94118,,,"MANDATORY SOFT STORY RETROFIT GROUND /STREET LEVEL. SOFT STORY RETROFIT PER SFBC CHAPTER 34B. REQUIRE",
#201403070177,3,2014/03/07,2015/10/14,ISSUED,9,2017/10/14,650000,224472,OFFICE,,APARTMENTS,23,2,,3,3,,,9,857,1,229,,HAIGHT,ST,,,SCOTT,BRAUNINGER,4155195180,"BUILD GROUP INC.",457,MINNA,ST,"SAN FRANCISCO",CA,94103-0000,,,"FIRE ALARM WORK ASSOCIATED WITH BUILDING REMODEL UNDER PA#201308305692.",
#201403191083,3,2014/03/19,2015/10/13,ISSUED,9,2016/10/13,250000,100000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,2,,17,1282,12,242,,ALMA,ST,,,,,,,,,,,,,,,"TO COMPLY W/ NOV 201333903 RECONSTRUCTION OF AN (E) BACKYARD COTTAGE W/O HORIZONTAL OR VERTICAL EXTERIOR EXPANSION OF (E) BLDG ENVELOPE. (N) SCOPE OF WORK TO INCLUDE A (N) KITCHEN  2 BATHROOMS  STORAGE  BEDROOM  FLEX SPACE  INTERIOR STAIRCASE TO THE ROOF  (N) WINDOWS & DOORS/SIDING  ELEC & PLUMBING",
#201404042516,3,2014/04/04,2015/10/28,ISSUED,9,2017/10/28,600000,600000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,2,,15,1312,24,800,,"EL CAMINO DEL MAR",*,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMODEL OF (E) RESIDENCE & VERTICAL ADDITION OVER PORTION OF (E) RESIDENCE CREATION NEW 3RD FLOOR. VARIANCE NEEDED FOR SMALL SIDE YARD ENCROACHMENT AT NORTH / EAST CORNER. ADDITION TO INCLUDE 4 NEW BEDROOMS & 3 NEW BATHS.",
#201404143127,3,2014/04/14,2015/10/20,ISSUED,9,2016/10/20,195000,195000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,2,,16,473,013A,1372,,FRANCISCO,ST,,,TOMMY,NEESON,4152798860,"TOMMY NEESON CONSTRUCTION",1606,33RD,AV,"SAN FRANCISCO",CA,94122-0000,,,"(ADD 3RD FLOOR: 1 BEDROOM/1 BATHROOM); REAR HORIZONTAL EXPANSION  KITCHEN AND BATHROOMS REMODEL  INTERIOR LAYOUT RECONFIGURATION  NEW ELECTRICAL AND NEW PLUMBING",
#201404223854,3,2014/04/22,2015/10/06,ISSUED,9,2017/10/06,500000,500000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,14,7519,2,1408,,DOUGLASS,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMODEL FRONT ELEVATION REAR YARD 3 STORY ADDITION. NEW ROOF DECK  NEW BATHROOM  BEDROOM  & FAMILY ROOM @ 1ST FLOOR. REMODEL KITCHEN & NEW  VANITY @ 2ND FLOOR. NEW MASTER BEDROOM & 2 BATHROOM @ 3RD FLOOR.",
#201405155803,8,2014/05/15,2015/10/01,ISSUED,9,2016/04/01,8000,8000,"RETAIL SALES",8,"RETAIL SALES",8,2,,3,3,3,,3,2988A,14,260,,"WEST PORTAL",AV,0,,"DENNIS LUSHOV &"," EDUARD YEZERSKY",5108277114,"LUSHOV CONSTRUCTION INC",750,"LA PLAYA ST  UNIT 865",,"SAN FRANCISCO",CA,94121-0000,,,"REVISION TO PA #2012.0830.8597 - FOR VACANT RETAIL - INSTALL WOOD CLOTHING DISPLAY SHELVES INTO (E) SPACE  (N) ADA CASHIERS CENTER  20% ADA UPGRADE  TO (E) RESTROOM  (N) 42"" GRAB BAR  TO ADA STANDARDS.",
#201405155803,8,2014/05/15,2015/10/01,ISSUED,9,2016/04/01,8000,8000,"RETAIL SALES",8,"RETAIL SALES",8,2,,3,3,3,,3,2988A,14,262,,"WEST PORTAL",AV,,,"DENNIS LUSHOV &"," EDUARD YEZERSKY",5108277114,"LUSHOV CONSTRUCTION INC",750,"LA PLAYA ST  UNIT 865",,"SAN FRANCISCO",CA,94121-0000,,,"REVISION TO PA #2012.0830.8597 - FOR VACANT RETAIL - INSTALL WOOD CLOTHING DISPLAY SHELVES INTO (E) SPACE  (N) ADA CASHIERS CENTER  20% ADA UPGRADE  TO (E) RESTROOM  (N) 42"" GRAB BAR  TO ADA STANDARDS.",
#201405155810,3,2014/05/15,2015/10/23,ISSUED,9,2016/10/23,175000,175000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,37,5648,2,102,,ANDERSON,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"ADDITION & RENOVATION TO (E) TWO STORY HOME. ADDINGINTERNAL & EXTERNAL SPACE TO (E) FIRST AND SECOND FLRS  INCLUDING A REAR ADDITION. 1ST FL SPACE INCLUDES A LAUNDRY  2ND FL SPACE INCLUDES A DINING ROOM. VERTICAL ADDTION AT THE REAR OF PROPERTY FOR A NEW MASTER BEDROOM SUITE. NEW INTERIOR STAIR",
#201406239115,3,2014/06/23,2015/10/09,ISSUED,9,2016/10/09,5000,75000,"RETAIL SALES",,"RETAIL SALES",,2,,2,2,2,,12,4172,7,2544,,03RD,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CHANGE OF USE TO MCD (MEDICAL CANNABIS DISPENSERY) COMPLIANCE WITH ORDINANCE NO. 155-13 NOT REQUIRED.",
#201406259383,1,2014/06/25,2015/10/09,ISSUED,9,2021/10/09,90000000,115000000,,,APARTMENTS,326,2,,,5,1,,96,4105,9,800,,INDIANA,ST,,,"MYER  MIKE ; GARDNER MAX","VAN HORNE  JEFF",4082192859,"AVALON BAY COMMUNITIES",400,RACE,ST,"SAN JOSE",CA,95126-0000,,,"TO ERECT 5 STORIES  1 BASEMENT  326 DWELLING UNITS RESIDENTIAL  PARKING  ACCESSORY USES BUILDING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **",
#201406269518,3,2014/06/26,2015/10/27,ISSUED,9,2018/04/27,2098700,2098700,"DAY CARE  NON-RES",0,"DAY CARE  NON-RES",0,2,Y,2,2,2,,128,676,71,1830,,SUTTER,ST,,,JONATHAN,WICKMAN,4152153473,"WICKMAN DEVELOPMENT AND CONSTRUCTION",319,RUTLEDGE,ST,"SAN FRANCISCO",CA,94110-0000,,,"2 STORY PRESCHOOL BUILDING ADDITION WITH ROOFTOP PLAY YARD.",
#201406279838,3,2014/06/27,2015/10/21,ISSUED,9,2016/02/21,1,1,THEATER,0,THEATER,0,2,,2,2,0,,28,3616,83,2550,,MISSION,ST,,,"RANDALL SCOTT ROBINSON","JUSTIN WARREN",5036458531,"RSR CONSTR/ROBINSON CONSTRUCTION CO",21360,"NW AMBERWOOD DR",,HILLSBORO,OR,97008-0000,,,"REFERENCE PA #201306200106. (N) EXTERIOR FIRE ESCAPES  ROOF ACCESS LADDER & ROOF HATCHES. EXTERIOR VISIBLE DUCT WORK EXCLUDED FROM SCOPE.",
#201406300078,8,2014/06/30,2015/10/16,ISSUED,9,2016/10/16,30000,80000,APARTMENTS,6,APARTMENTS,6,2,,2,2,2,,7,1433,7,439,,ARGUELLO,BL,0,,JOHN,MULLIGAN,5105346502,"GRAND INDUSTRIES INC",1362,53RD,AV,OAKLAND,CA,94601-0000,,,"SOFT STORY RETROFIT AT GARAGE LEVEL.",
#201407080687,3,2014/07/08,2015/10/15,ISSUED,9,2016/10/15,30000,70000,"FOOD/BEVERAGE HNDLNG",110,"FOOD/BEVERAGE HNDLNG",110,2,,6,6,6,,8,348,7,136,,MCALLISTER,ST,,,KEVIN,CURRAN,4155718535,"CURRAN & ASSOCIATES GEN",236,"WEST PORTAL",AV,"SAN FRANCISCO",CA,94127-0000,,,"EXTERIOR FACADE WORK AT SOLEA DANCE STUDIO  CELTIC COFFEE CO. & MCALLISTER GROCERY & DELI AT GROUND FLOOR ONLY  NO WORK AT INTERIOR  NO STRUCTURAL WORK. INSTALL NEW CANVAS AWNING  NEW PROJECTING SIGN  NEW WINDOW GLAZING & DECALS  NEW VERTICAL ACTUATION BAR.",
#201407080692,4,2014/07/08,2015/10/15,ISSUED,9,2016/02/15,350,500,"FOOD/BEVERAGE HNDLNG",110,,,2,,6,,6,,8,348,7,136,,MCALLISTER,ST,,,KEVIN,CURRAN,4155718535,"CURRAN & ASSOCIATES GEN",236,"WEST PORTAL",AV,"SAN FRANCISCO",CA,94127-0000,,,"NON-ELECTRIC WINDOW. SINGLE FACED.",
#201407080693,4,2014/07/08,2015/10/15,ISSUED,9,2016/02/15,1500,1500,APARTMENTS,110,,,2,,6,,6,,8,348,7,136,,MCALLISTER,ST,,,KEVIN,CURRAN,4155718535,"CURRAN & ASSOCIATES GEN",236,"WEST PORTAL",AV,"SAN FRANCISCO",CA,94127-0000,,,"NON-ELECTRIC  DOUBLE FACED. PROJECTING SIGNAGE GRAPHICS SIZE 2'X 2'.",
#201407090784,8,2014/07/09,2015/10/28,ISSUED,9,2016/10/28,48000,48000,APARTMENTS,3,APARTMENTS,3,2,,3,3,3,,7,91,52,833,,GREENWICH,ST,,,"JOHN C.",POLLARD,4158260606,"S F GARAGE COMPANY INC.",1760,MISSION,ST,"SAN FRANCISCO",CA,94103-0000,,,"CONVERT EXISTING STORAGE ROOM @ BASEMENT TO A PARKING GARAGE  CONSTRUCT A NEW DRIVEWAY RAMP DOWN TO NEW GARAGE AND STANDARD CURB CUT AT SIDEWALK CURB",
#201407161402,3,2014/07/16,2015/10/13,ISSUED,9,2017/10/13,600000,800000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,1,2,1,,12,6611,20,574,,VALLEY,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"REMODEL FRONT ELEVATION & NEW 2ND FLR WITH BEDROOMS & TWO BATHRMS. EXTEND BASEMENT TO REAR WITH NEW FAMILY ROOM & BATH ROOM. ROOF DECK ABOVE BASEMENT AT REAR. REMODEL KITCHEN & ADD VANITY AT 1ST FL. NEW ROOF DECK ABOVE NEW 2ND FLR.",
#201407292438,3,2014/07/29,2015/10/06,ISSUED,9,2016/10/06,80000,80000,OFFICE,,OFFICE,,2,,4,4,3,,37,3774,13,51,,FEDERAL,ST,,,UWE,DOBERS,4152975397,"THE FINE EUROPEAN CONSTRUCTION/UWB DOBER",848,ARKANSAS,ST,"SAN FRANCISCO",CA,94107,,,"RENOVATE EXTG LOBBY INCLUDING NEW CANOPY  FINISHES  STOREFRONT ENTRY  LIGHTING  ELEVATOR CAB FINISHES  AND MODIFICATIONS TO EXTG  EXIT CORRIDOR. N/A FOR THE MAHER ORDINANCE #155-13",
#201408063203,6,2014/08/06,2015/10/30,ISSUED,9,2016/10/30,20000,30000,"1 FAMILY DWELLING",1,,,2,,2,,2,,27,987,16,3591,,JACKSON,ST,,,"YOUNG & BURTON INC",,9258204953,"YOUNG & BURTON INC",1947,"SAN RAMON VALLEY BLVD  STE 200",,"SAN RAMON",CA,94583-0000,,,"TO DEMOLISH 2 STORIES  SINGLE FAMILY DWELLING BUILDING. ** MAHER ORDINANCE - EXTENDED - EXEMPTED - APPROVAL FROM DPH ATTACHED",
#201408063204,2,2014/08/06,2015/10/30,ISSUED,9,2017/10/30,700000,1390000,,,"1 FAMILY DWELLING",1,2,,,3,2,,27,987,16,3591,,JACKSON,ST,,,"YOUNG & BURTON INC",,9258204953,"YOUNG & BURTON INC",1947,"SAN RAMON VALLEY BLVD  STE 200",,"SAN RAMON",CA,94583-0000,,,"TO ERECT 3 STORIES  1 BASEMENT  SINGLE FAMILY DWELLING. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 DISTRIBANCE OF AT LEAST 50 CU YD OF SOIL",
#201408113516,3,2014/08/11,2015/10/14,ISSUED,9,2016/10/14,1000,30000,"RETAIL SALES",1,"MASSAGE PARLOR",1,2,,2,2,1,,4,2026,26,1632,,NORIEGA,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"CHANGE OF USE FORM EXISTING SINCERE CARE MEDICAL SHOP TO CHINESE MEDIUM MASSAGE SPA.  REVISION TO PA # 201407030517 TO REVISED APPROVED BATHROOM. ALL EMPLOYEE TO BE STATE CERTIFY MASSAGESE.",
#201408153971,8,2014/08/15,2015/10/08,ISSUED,9,2016/10/08,42000,42000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,2,2,1,,3,5575,19,117,,FAITH,ST,,,,,,,,,,,,,,,"ADD STORAGE ROOM TO (E) GARAGE SPACE (NO ADDED QUARE FOOTAGE)  ADD PLYWOOD TO WALLS  AT GARAGE LEVEL  ADD ANCHOR BOLTS TO FOUNDATION  ADD FOUNDATIONS.",
#201408184113,3,2014/08/18,2015/10/23,ISSUED,9,2016/10/23,175000,250000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,,3,3,2,,11,0443A,17,1769,,BEACH,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"MERGER OF UPPER 2 UNITS INTO ONE UNIT. ADD STAIRCASE FROM GARAGE TO LEVEL 2 AND FROM LEVEL 3 TO (N) ROOF DECK.LEGALIZE (E) IN-LAW UNIT THROUGH AMNESTY PROGRAM. RECONFIGURE INTERIOR  PARTITIONS  ADD NEW PLUMBING FIXTURES  NEW INTERIOR FINISHES. N/A W/MAHER ORDINANCE.",
#201408214347,3,2014/08/21,2015/10/09,ISSUED,9,2016/10/09,100000,300000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,2,3,1,,9,4162,65,837,,WISCONSIN,ST,,,OWNER,OWNER,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"3/FL ADDITION: ADD BASEMENT & REAR DECKS. SIDE INFILLS & REMODEL 3 (E) BEDROOMS  ROOF DECK. 3 (N) BATHS & 2 (N) FLIGHTS OF STAIRS.",
#201408295108,3,2014/08/29,2015/10/02,ISSUED,9,2016/02/02,4500,4500,APARTMENTS,24,APARTMENTS,25,2,,7,7,6,,8,251,14,1280,,PINE,ST,0,,JOE,MANNION,4154716005,"JOSEPH MANNION CONSTRUCTION",,"P.O.BOX 640717",,"SAN FRANCISCO",CA,94164-0000,,,"LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. N/A FOR MAHER ORDINANCE.",
#201409156308,3,2014/09/15,2015/10/13,ISSUED,9,2016/04/13,18000,25000,"2 FAMILY DWELLING",2,"2 FAMILY DWELLING",2,2,Y,3,3,2,,7,4207,35,2915,,23RD,ST,,,MARCO,"CASTILLO GUARDADO",4158121018,"CASTLE COMPANY",987,HOLLISTER,AV,"SAN FRANCISCO",CA,94121-0000,,,"REMOVE (E) ROTTEN REAR WOOD STAIR & DECK. REBUILT REAR WOOD STAIR & DECK W/CONFIGURATION CHANGE FOR CODE COMPLIANCE.",
#201409226906,3,2014/09/22,2015/10/07,ISSUED,9,2016/04/07,20000,20000,"RETAIL SALES",6,"RETAIL SALES",6,2,,3,3,3,,4,3608,5,956,,VALENCIA,ST,0,,PAK,LEE,4157301731,"FIDES CONSTRUCTION INC",1093,SYCAMORE,DR,MILLBRAE,CA,94030-0000,,,"INTERIOR T.I.  FOR RETAIL - INSTALL (N) ADA CASHIER COUNTER & DISPLAY SYSTEM.",
