APPLICATION_NUMBER,FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,ESTIMATEDCOST,REVISEDCOST,"EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION
200406025287,8,2004/06/02,2004/06/02,ISSUED,9,2004/10/02,5000,5000,"2 FAMILY DWELLING",,"2 FAMILY DWELLING",2,1023,13,3030,,CALIFORNIA,ST,,,,,,,,,,,,,"AS BUILT STRUCTURAL REVISION TO BPA #2003/11/03/9244 PER PLANS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
9920273S,3,1999/09/24,2004/06/22,ISSUED,9,2006/06/22,100000,535000,"1 FAMILY DWELLING",,APARTMENTS,3,1456,8,451,,24TH,AV,,,,,,,,,,,"JAMES LI P.E. 1603 CABRILLO,SF, CA 94121",4156688646,"HORIZONTAL & VERTICAL ADDITION-CONVERT INTO 3 UNIT CONDOS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
9925728S,3,1999/12/07,2004/06/17,ISSUED,9,2006/06/17,300000,400000,APARTMENTS,,APARTMENTS,6,122,12,1170,,GREEN,ST,,,,,,,,,,,"KOTAS/PANTALEONI ARCH",,"EXPANSION OF (E)BLDG BY ADDING PARTIAL 3RD FLR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
9925728S,3,1999/12/07,2004/06/17,ISSUED,9,2006/06/17,300000,400000,APARTMENTS,,APARTMENTS,6,122,12,1180,,GREEN,ST,,,,,,,,,,,"KOTAS/PANTALEONI ARCH",,"EXPANSION OF (E)BLDG BY ADDING PARTIAL 3RD FLR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200101290788,3,2001/01/29,2004/06/04,ISSUED,9,2005/06/04,85000,102000,"PRINTING PLANT",,"PRINTING PLANT",0,3775,1,500,,02ND,ST,,,,,,,,,,,"MOMY SIKAROVDI, P.E.  1724 MANDELLA PKWY OAKLAND C",,"SEISMIC RETROFIT OF UNREINFORCED BRICK MASONRY BUILDING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200406116189,8,2004/06/11,2004/06/11,ISSUED,9,2004/10/11,2000,2000,"RETAIL SALES",,"RETAIL SALES",0,6248,15,58,,LELAND,AV,,,,,,,,,,,,,"REV. TO PA#2004/03/16/8809: ADD THREE FOOTINGS TO CORRIDOR, LENGTHEN THE HEIGHT OF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
200106121344,6,2001/06/12,2004/06/04,ISSUED,9,,,,"2 FAMILY DWELLING",,,,1266,38,509,,FREDERICK,ST,,,,,,,,,,,"JOSEPH MOORE 756 KANSAS,SF, CA 94107",6484746,"DEMOLISH 3 STORIES 2 DWELLING UNIT TYPE V BLDG.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
200106121344,6,2001/06/12,2004/06/04,ISSUED,9,,,,"2 FAMILY DWELLING",,,,1266,38,511,,FREDERICK,ST,,,,,,,,,,,"JOSEPH MOORE 756 KANSAS,SF, CA 94107",6484746,"DEMOLISH 3 STORIES 2 DWELLING UNIT TYPE V BLDG.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               "
200106121349,2,2001/06/12,2004/06/04,ISSUED,9,2006/06/04,759000,759000,,,APARTMENTS,3,1266,38,509,,FREDERICK,ST,,,,4157400506,"CHARLES A CANEPA CO",WILLARD,ST,"SAN FRANCISCO",CA,94117,"JOSEPH MOORE 756 KANSAS, SF, CA 94107",4156484746,"ERECT A 4 STORY THREE UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200106121349,2,2001/06/12,2004/06/04,ISSUED,9,2006/06/04,759000,759000,,,APARTMENTS,3,1266,38,511,,FREDERICK,ST,,,,4157400506,"CHARLES A CANEPA CO",WILLARD,ST,"SAN FRANCISCO",CA,94117,"JOSEPH MOORE 756 KANSAS, SF, CA 94107",4156484746,"ERECT A 4 STORY THREE UNIT RESIDENTIAL BLDG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200406096011,8,2004/06/09,2004/06/09,ISSUED,9,2005/06/09,50000,50000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,3629,26,1079,,CHURCH,ST,,,WALLACE,5501993,"WALLACE REMODELING INC",DAY,ST,"SAN FRANCISCO",CA,94131,,,"KITCHEN REMODEL SAME - NEW FRENCH DOORS AT REAR OF TOP FLOOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200111092793,3,2001/11/09,2004/06/07,ISSUED,9,2005/06/07,90000,120000,"RETAIL SALES",,"RETAIL SALES",21,210,4,817,,GRANT,AV,,,,,,,,,,,"AHMAD MOHAZAB",,"SEISMIC UPGRADE AS REQUQIRED WITH 20% OF WORK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200111092793,3,2001/11/09,2004/06/07,ISSUED,9,2005/06/07,90000,120000,"RETAIL SALES",,"RETAIL SALES",21,210,4,825,,GRANT,AV,,,,,,,,,,,"AHMAD MOHAZAB",,"SEISMIC UPGRADE AS REQUQIRED WITH 20% OF WORK                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            "
200201076362,3,2002/01/07,2004/06/11,ISSUED,9,2005/06/11,150000,220000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,2018,004A,1766,,32ND,AV,,,,,,,,,,,"SAMUEL KWANG 445 GRANT AVE #404,SF,CA 94108",,"HORIZONTAL AND VERTICAL ADDITON/INTERIOR REMODEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              "
200201157044,3,2002/01/15,2004/06/07,ISSUED,9,2005/06/07,110000,100000,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,1418,15,271,,15TH,AV,,,,,,,,,,,"DAVID HUNG 2110-33RD AVE,SF, CA 94116",,"REAR & VERTICAL ADDITION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
200203292671,3,2002/03/29,2004/06/16,ISSUED,9,2005/06/16,228000,228000,"AUTO REPAIRS",,"AUTO REPAIRS",0,1215,14,1215,,FELL,ST,,,WILSON,4157641200,"STRUCTURAL RENOVATIONS, INC.","TERRY FRANCOIS",BL,"SAN FRANCISCO",CA,94158-0000,,,"SEISMIC RETRO FIT AS PER/PLANS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
200205025558,3,2002/05/02,2004/06/11,ISSUED,9,2005/06/11,148000,205796,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,5678,26,414,,CORTLAND,AV,,,,,,,,,,,"C. SWASON 12800 shenandoah rd,plymouth,ca 95669",2092454376,"HORIZONTAL EXTENSION TO REAR OF BLDG.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
200205025558,3,2002/05/02,2004/06/11,ISSUED,9,2005/06/11,148000,205796,"1 FAMILY DWELLING",,"1 FAMILY DWELLING",1,5678,26,416,,CORTLAND,AV,,,,,,,,,,,"C. SWASON 12800 shenandoah rd,plymouth,ca 95669",2092454376,"HORIZONTAL EXTENSION TO REAR OF BLDG.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  "
200205227228,6,2002/05/22,2004/06/23,ISSUED,9,,,,"1 FAMILY DWELLING",,,,4030,2,604,,"RHODE ISLAND",ST,,,,,,,,,,,"REGAN BICE ARCH. 950 GRAYSON ST. BERKELEY CA 94710",5105491499,"DEMOLISH A THREE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200205227232,2,2002/05/22,2004/06/23,ISSUED,9,2006/06/23,600000,600000,,,"1 FAMILY DWELLING",1,4030,2,604,,"RHODE ISLAND",ST,,,,,,,,,,,"REGAN BICE ARCHITECTS 950 GRAYSON ST BERK CA 94710",5105491499,"ERECT A THREE STORY SINGLE FAMILY DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200205227240,6,2002/05/22,2004/06/23,ISSUED,9,,,,"2 FAMILY DWELLING",,,,4030,1,2005,,18TH,ST,,,,,,,,,,,"REGAN BICE ARCH. 950 GRAYSON ST.BERKELEY CA 94703",5105491499,"DEMOLISH A THREE STORY TWO UNIT DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
200205227240,6,2002/05/22,2004/06/23,ISSUED,9,,,,"2 FAMILY DWELLING",,,,4030,1,2007,,18TH,ST,,,,,,,,,,,"REGAN BICE ARCH. 950 GRAYSON ST.BERKELEY CA 94703",5105491499,"DEMOLISH A THREE STORY TWO UNIT DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       "
200205227243,2,2002/05/22,2004/06/23,ISSUED,9,2006/06/23,400000,400000,,,"2 FAMILY DWELLING",2,4030,1,2005,,18TH,ST,,,,,,,,,,,"REGAN BICE ARCHITECTS 950 GRAYSON ST. BERKELEY CA",5105491499,"ERECT A TWO STORY TWO UNIT DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
200205227243,2,2002/05/22,2004/06/23,ISSUED,9,2006/06/23,400000,400000,,,"2 FAMILY DWELLING",2,4030,1,2007,,18TH,ST,,,,,,,,,,,"REGAN BICE ARCHITECTS 950 GRAYSON ST. BERKELEY CA",5105491499,"ERECT A TWO STORY TWO UNIT DWELLING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
200205317949,3,2002/05/31,2004/06/16,ISSUED,9,2006/06/16,100000,940000,APARTMENTS,,APARTMENTS,89,3731,117,1011,,HOWARD,ST,,,,,,,,,,,"CHARLES NG 100 OLD COUNTY #100C,BRISBANE,CA94005",4156563528,"FIRE DAMAGE REPAIR -ADD 1 STORY.SEISMIC UPGRADE SPRINKLER, NEW PLUMBING,ELECTRICAL,MECH,SHEETROCK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
200205317949,3,2002/05/31,2004/06/16,ISSUED,9,2006/06/16,100000,940000,APARTMENTS,,APARTMENTS,89,3731,117,1019,,HOWARD,ST,,,,,,,,,,,"CHARLES NG 100 OLD COUNTY #100C,BRISBANE,CA94005",4156563528,"FIRE DAMAGE REPAIR -ADD 1 STORY.SEISMIC UPGRADE SPRINKLER, NEW PLUMBING,ELECTRICAL,MECH,SHEETROCK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
